time_utc,symbol,tf,bias,score,entry,stop,target,note,news_asof_utc,news_score,news_bias,news_why,news_event_risk,news_age_min
,XAUUSD,5min,,,,,,"engine int() argument must be a string, a bytes-like object or a real number, not 'NoneType' |  | 0 | 30",,,,,,
,-,5min,,,,,,alive |  | 30,,,,,,
,EURUSD,5min,,,,,,"engine int() argument must be a string, a bytes-like object or a real number, not 'NoneType' |  | 0 | 30",,,,,,
,XAUUSD,5min,,,,,,"engine int() argument must be a string, a bytes-like object or a real number, not 'NoneType' |  | 0 | 30",,,,,,
,-,5min,,,,,,alive |  | 30,,,,,,
,EURUSD,5min,,,,,,"engine int() argument must be a string, a bytes-like object or a real number, not 'NoneType' |  | 0 | 30",,,,,,
,XAUUSD,5min,,,,,,"engine int() argument must be a string, a bytes-like object or a real number, not 'NoneType' |  | 0 | 30",,,,,,
,-,5min,,,,,,alive |  | 30,,,,,,
,EURUSD,5min,,,,,,"engine int() argument must be a string, a bytes-like object or a real number, not 'NoneType' |  | 0 | 30",,,,,,
,XAUUSD,5min,,,,,,"engine int() argument must be a string, a bytes-like object or a real number, not 'NoneType' |  | 0 | 30",,,,,,
,-,5min,,,,,,alive |  | 30,,,,,,
,EURUSD,5min,,,,,,"engine int() argument must be a string, a bytes-like object or a real number, not 'NoneType' |  | 0 | 30",,,,,,
,XAUUSD,5min,,,,,,"engine int() argument must be a string, a bytes-like object or a real number, not 'NoneType' |  | 0 | 30",,,,,,
,-,5min,,,,,,alive |  | 30,,,,,,
,EURUSD,5min,,,,,,"engine int() argument must be a string, a bytes-like object or a real number, not 'NoneType' |  | 0 | 30",,,,,,
,XAUUSD,5min,,,,,,"engine int() argument must be a string, a bytes-like object or a real number, not 'NoneType' |  | 0 | 30",,,,,,
,-,5min,,,,,,alive |  | 30,,,,,,
,EURUSD,5min,,,,,,"engine int() argument must be a string, a bytes-like object or a real number, not 'NoneType' |  | 0 | 30",,,,,,
,XAUUSD,5min,,,,,,"engine int() argument must be a string, a bytes-like object or a real number, not 'NoneType' |  | 0 | 30",,,,,,
,-,5min,,,,,,alive |  | 30,,,,,,
,EURUSD,5min,,,,,,"engine int() argument must be a string, a bytes-like object or a real number, not 'NoneType' |  | 0 | 30",,,,,,
,XAUUSD,5min,,,,,,"engine int() argument must be a string, a bytes-like object or a real number, not 'NoneType' |  | 0 | 30",,,,,,
,-,5min,,,,,,alive |  | 30,,,,,,
,EURUSD,5min,,,,,,"engine int() argument must be a string, a bytes-like object or a real number, not 'NoneType' |  | 0 | 30",,,,,,
,XAUUSD,5min,,,,,,"engine int() argument must be a string, a bytes-like object or a real number, not 'NoneType' |  | 0 | 30",,,,,,
,-,5min,,,,,,alive |  | 30,,,,,,
,EURUSD,5min,,,,,,"engine int() argument must be a string, a bytes-like object or a real number, not 'NoneType' |  | 0 | 30",,,,,,
,XAUUSD,5min,,,,,,"engine int() argument must be a string, a bytes-like object or a real number, not 'NoneType' |  | 0 | 30",,,,,,
,-,5min,,,,,,alive |  | 30,,,,,,
,EURUSD,5min,,,,,,"engine int() argument must be a string, a bytes-like object or a real number, not 'NoneType' |  | 0 | 30",,,,,,
,XAUUSD,5min,,,,,,"engine int() argument must be a string, a bytes-like object or a real number, not 'NoneType' |  | 0 | 30",,,,,,
,-,5min,,,,,,alive |  | 30,,,,,,
,EURUSD,5min,,,,,,"engine int() argument must be a string, a bytes-like object or a real number, not 'NoneType' |  | 0 | 30",,,,,,
,XAUUSD,5min,,,,,,"engine int() argument must be a string, a bytes-like object or a real number, not 'NoneType' |  | 0 | 30",,,,,,
,-,5min,,,,,,alive |  | 30,,,,,,
,EURUSD,5min,BEARISH,27,,,,score<55 | 0 | 30,,,,,,
,XAUUSD,5min,,,,,,"engine int() argument must be a string, a bytes-like object or a real number, not 'NoneType' |  | 0 | 30",,,,,,
2025-09-10T12:30:04Z,EURUSD,5min,,,,,,"must be real number, not NoneType | must be real number, not NoneType | 0 | 30 |  |  |  |",,,,,,
2025-09-10T12:30:29Z,XAUUSD,5min,Neutral,0,,,,missing TOKEN/CHAT_ID | no data | 0 | 30 |  |  |  | 2.0,,,,,,
2025-09-10T12:40:47Z,EURUSD,5min,Bearish,23,,,,score<35 | - |  | auto | XAUUSD | v2b,,,,,,
2025-09-10T12:41:05Z,XAUUSD,5min,Neutral,,,,,score<35 | no data |  | auto | XAUUSD | v2b,,,,,,
2025-09-10T12:41:11Z,EURUSD,5min,Bearish,23,,,,score<35 | - |  | auto | XAUUSD | v2b,,,,,,
2025-09-10T12:41:28Z,XAUUSD,5min,Neutral,,,,,score<35 | no data |  | auto | XAUUSD | v2b,,,,,,
2025-09-10T12:49:51Z,EURUSD,5min,Bearish,23,,,,score<25 | - |  | auto | XAUUSD | v2b,,,,,,
2025-09-10T12:50:12Z,XAUUSD,5min,Neutral,,,,,score<25 | no data |  | auto | XAUUSD | v2b,,,,,,
,,,,,,,,"|  |  | 30 | EURUSD,XAUUSD | v2b",,,,,,
,,,,,,,,"|  |  | 30 | EURUSD,XAUUSD | v2b",,,,,,
,EURUSD,5min,0,0,,,,0 | 0 | 0 | 0 | 30 | EURUSD | v2b,,,,,,
,XAUUSD,5min,0,0,,,,0 | 0 | 0 | 0 | 30 | XAUUSD | v2b,,,,,,
,,,,,,,,"|  |  | 30 | EURUSD,XAUUSD | v2b",,,,,,
,,,,,,,,"|  |  | 30 | EURUSD,XAUUSD | v2b",,,,,,
,EURUSD,5min,0,0,,,,0 | 0 | 0 | 0 | 30 | EURUSD | v2b,,,,,,
,XAUUSD,5min,0,0,,,,0 | 0 | 0 | 0 | 30 | XAUUSD | v2b,,,,,,
,,,,,,,,|  |  | 30 | EURUSD | v2b,,,,,,
,,,,,,,,|  |  | 30 | EURUSD | v2b,,,,,,
,EURUSD,5min,0,0,,,,0 | 0 | 0 | 0 | 30 | EURUSD | v2b,,,,,,
,,,,,,,,alive |  |  |  |  | 30 | EURUSD | v2b,,,,,,
,,5min,,,,,,twelvedata ok=True code=200 ok |  |  |  |  | 30 | EURUSD | v2b,,,,,,
,EURUSD,5min,Neutral,0,,,,score<35 |  | 0 |  |  | 30 | EURUSD | v2b,,,,,,
,,,,,,alive,,EURUSD | v2b,,,,,,
,,5min,,,,twelvedata ok=True code=200 ok,,EURUSD | v2b,,,,,,
,EURUSD,5min,Neutral,0,0,score<35,,EURUSD | v2b,,,,,,
,,5min,,,,,,30,,,,,,
,,,,,,,twelvedata ok=True code=200 ok,30,,,,,,
,EURUSD,5min,0,0,,,no data,30,,,,,,
,,5min,,,,,,30,,,,,,
,,,,,,,twelvedata ok=True code=200 ok,30,,,,,,
,EURUSD,5min,0,0,,,no data,30,,,,,,
,,5min,,,,,,30,,,,,,
,,,,,,,twelvedata ok=True code=200 ok,30,,,,,,
,EURUSD,5min,0,0,,,no data,30,,,,,,
,,5min,,,,,,30,,,,,,
,,,,,,,twelvedata ok=True code=200 ok,30,,,,,,
,EURUSD,5min,0,0,,,no data,30,,,,,,
,,5min,,,,,,30,,,,,,
,,,,,,,twelvedata ok=True code=200 ok,30,,,,,,
,EURUSD,5min,0,0,,,no data,30,,,,,,
,,5min,,,,,,30,,,,,,
,,,,,,,twelvedata ok=True code=200 ok,30,,,,,,
,EURUSD,5min,0,0,,,no data,30,,,,,,
