timestamp,open,high,low,close,volume
2025-09-20 04:00:00+00:00,1.17506,1.17512,1.17475,1.17502,0
2025-09-20 04:15:00+00:00,1.17502,1.17507,1.17471,1.17481,0
2025-09-20 04:30:00+00:00,1.17483,1.17499,1.17472,1.17474,0
2025-09-20 04:45:00+00:00,1.17475,1.17503,1.17468,1.17481,0
2025-09-20 05:00:00+00:00,1.17477,1.17498,1.1747,1.17485,0
2025-09-20 05:15:00+00:00,1.17485,1.17493,1.1746,1.17466,0
2025-09-20 05:30:00+00:00,1.17466,1.17488,1.17452,1.17478,0
2025-09-20 05:45:00+00:00,1.17477,1.17507,1.17467,1.17476,0
2025-09-20 06:00:00+00:00,1.17476,1.17478,1.17431,1.17433,0
2025-09-20 06:15:00+00:00,1.17431,1.17459,1.17416,1.17442,0
2025-09-20 06:30:00+00:00,1.17441,1.17448,1.17406,1.17428,0
2025-09-20 06:45:00+00:00,1.17435,1.17459,1.17407,1.17442,0
2025-09-20 07:00:00+00:00,1.17442,1.17442,1.17442,1.17442,0
2025-09-20 07:15:00+00:00,1.17442,1.17442,1.17442,1.17442,0
2025-09-20 07:30:00+00:00,1.17442,1.17442,1.17442,1.17442,0
2025-09-20 07:45:00+00:00,1.17442,1.17442,1.17442,1.17442,0
2025-09-20 08:00:00+00:00,1.17442,1.17442,1.17442,1.17442,0
2025-09-20 08:15:00+00:00,1.17442,1.17442,1.17442,1.17442,0
2025-09-20 08:30:00+00:00,1.17442,1.17442,1.17442,1.17442,0
2025-09-20 08:45:00+00:00,1.17442,1.17442,1.17442,1.17442,0
2025-09-22 09:00:00+00:00,1.17408,1.17415,1.17386,1.17393,0
2025-09-22 09:15:00+00:00,1.17395,1.17409,1.1739,1.1739,0
2025-09-22 09:30:00+00:00,1.17392,1.17404,1.17371,1.17393,0
2025-09-22 09:45:00+00:00,1.17392,1.17393,1.17358,1.17365,0
2025-09-22 10:00:00+00:00,1.17358,1.17358,1.173,1.17348,0
2025-09-22 10:15:00+00:00,1.17348,1.17378,1.17323,1.17374,0
2025-09-22 10:30:00+00:00,1.17374,1.17374,1.17327,1.1733,0
2025-09-22 10:45:00+00:00,1.1733,1.17345,1.17261,1.17344,0
2025-09-22 11:00:00+00:00,1.17348,1.1741,1.17338,1.17378,0
2025-09-22 11:15:00+00:00,1.17375,1.17406,1.17358,1.17363,0
2025-09-22 11:30:00+00:00,1.17354,1.1738,1.17334,1.17363,0
2025-09-22 11:45:00+00:00,1.17364,1.17382,1.17318,1.17323,0
2025-09-22 12:00:00+00:00,1.17325,1.17336,1.17282,1.1731,0
2025-09-22 12:15:00+00:00,1.17308,1.17309,1.17278,1.17287,0
2025-09-22 12:30:00+00:00,1.17286,1.17318,1.17273,1.17314,0
2025-09-22 12:45:00+00:00,1.17317,1.17317,1.17273,1.17279,0
2025-09-22 13:00:00+00:00,1.17279,1.1734,1.17279,1.17335,0
