datetime,open,high,low,close
2024-12-30 11:00:00,1.25780,1.25820,1.25720,1.25790
2024-12-30 12:00:00,1.25790,1.25840,1.25770,1.25805
2024-12-30 13:00:00,1.25810,1.25820,1.25765,1.25785
2024-12-30 14:00:00,1.25790,1.25800,1.25750,1.25800
2024-12-30 15:00:00,1.25800,1.25820,1.25780,1.25815
2024-12-30 16:00:00,1.25810,1.25860,1.25790,1.25820
2024-12-30 17:00:00,1.25820,1.25895,1.25820,1.25860
2024-12-30 18:00:00,1.25860,1.25860,1.25715,1.25800
2024-12-30 19:00:00,1.25780,1.25840,1.25615,1.25650
2024-12-30 20:00:00,1.25650,1.25820,1.25630,1.25780
2024-12-30 21:00:00,1.25760,1.25975,1.25740,1.25910
2024-12-30 22:00:00,1.25900,1.26075,1.25890,1.25990
2024-12-30 23:00:00,1.25980,1.26070,1.25895,1.25965
2024-12-31 00:00:00,1.25965,1.25990,1.25540,1.25555
2024-12-31 01:00:00,1.25560,1.25690,1.25415,1.25560
2024-12-31 02:00:00,1.25550,1.25570,1.25065,1.25125
2024-12-31 03:00:00,1.25130,1.25325,1.25080,1.25190
2024-12-31 04:00:00,1.25190,1.25455,1.25190,1.25455
2024-12-31 05:00:00,1.25450,1.25590,1.25440,1.25550
2024-12-31 06:00:00,1.25550,1.25570,1.25440,1.25440
2024-12-31 07:00:00,1.25420,1.25540,1.25410,1.25470
2024-12-31 08:00:00,1.25470,1.25520,1.25460,1.25505
2024-12-31 09:00:00,1.25520,1.25575,1.25355,1.25440
2024-12-31 10:00:00,1.25480,1.25490,1.25405,1.25485
2024-12-31 11:00:00,1.25485,1.25485,1.25380,1.25470
2024-12-31 12:00:00,1.25475,1.25600,1.25445,1.25585
2024-12-31 13:00:00,1.25585,1.25605,1.25545,1.25565
2024-12-31 14:00:00,1.25570,1.25575,1.25505,1.25515
2024-12-31 15:00:00,1.25515,1.25520,1.25455,1.25455
2024-12-31 16:00:00,1.25455,1.25545,1.25445,1.25510
2024-12-31 17:00:00,1.25510,1.25525,1.25420,1.25485
2024-12-31 18:00:00,1.25485,1.25665,1.25455,1.25620
2024-12-31 19:00:00,1.25620,1.25630,1.25420,1.25540
2024-12-31 20:00:00,1.25540,1.25695,1.25465,1.25550
2024-12-31 21:00:00,1.25530,1.25535,1.25320,1.25515
2024-12-31 22:00:00,1.25515,1.25525,1.25335,1.25400
2024-12-31 23:00:00,1.25395,1.25495,1.25300,1.25315
2025-01-02 05:00:00,1.25170,1.25210,1.25170,1.25210
2025-01-02 06:00:00,1.25210,1.25210,1.25200,1.25200
2025-01-02 07:00:00,1.25160,1.25170,1.25130,1.25140
2025-01-02 08:00:00,1.25140,1.25180,1.25140,1.25180
2025-01-02 09:00:00,1.25170,1.25170,1.25130,1.25150
2025-01-02 10:00:00,1.25150,1.25190,1.25080,1.25190
2025-01-02 11:00:00,1.25210,1.25210,1.25100,1.25170
2025-01-02 12:00:00,1.25150,1.25230,1.25110,1.25210
2025-01-02 13:00:00,1.25210,1.25330,1.25200,1.25330
2025-01-02 14:00:00,1.25340,1.25370,1.25300,1.25370
2025-01-02 15:00:00,1.25380,1.25400,1.25320,1.25340
2025-01-02 16:00:00,1.25350,1.25360,1.25290,1.25330
2025-01-02 17:00:00,1.25320,1.25340,1.25290,1.25300
2025-01-02 18:00:00,1.25300,1.25340,1.25210,1.25210
2025-01-02 19:00:00,1.25210,1.25240,1.24920,1.24980
2025-01-02 20:00:00,1.24980,1.25030,1.24800,1.24830
2025-01-02 21:00:00,1.24830,1.24920,1.24470,1.24470
2025-01-02 22:00:00,1.24470,1.24540,1.24350,1.24540
2025-01-02 23:00:00,1.24540,1.24580,1.24160,1.24200
2025-01-03 00:00:00,1.24200,1.24220,1.23990,1.24050
2025-01-03 01:00:00,1.24050,1.24120,1.23890,1.24010
2025-01-03 02:00:00,1.24010,1.24010,1.23700,1.23750
2025-01-03 03:00:00,1.23760,1.23800,1.23530,1.23750
2025-01-03 04:00:00,1.23740,1.23800,1.23610,1.23730
2025-01-03 05:00:00,1.23730,1.23760,1.23660,1.23700
2025-01-03 06:00:00,1.23700,1.23780,1.23640,1.23690
2025-01-03 07:00:00,1.23690,1.23860,1.23690,1.23780
2025-01-03 08:00:00,1.23790,1.23820,1.23780,1.23810
2025-01-03 09:00:00,1.23810,1.23840,1.23730,1.23820
2025-01-03 10:00:00,1.23820,1.23820,1.23760,1.23800
2025-01-03 11:00:00,1.23790,1.23880,1.23780,1.23870
2025-01-03 12:00:00,1.23880,1.23910,1.23830,1.23860
2025-01-03 13:00:00,1.23840,1.23920,1.23840,1.23910
2025-01-03 14:00:00,1.23920,1.23970,1.23910,1.23950
2025-01-03 15:00:00,1.23940,1.23950,1.23910,1.23940
2025-01-03 16:00:00,1.23930,1.23970,1.23860,1.23960
2025-01-03 17:00:00,1.23950,1.24050,1.23950,1.24040
2025-01-03 18:00:00,1.24030,1.24070,1.23880,1.24000
2025-01-03 19:00:00,1.23990,1.24070,1.23910,1.23930
2025-01-03 20:00:00,1.23930,1.24160,1.23930,1.24060
2025-01-03 21:00:00,1.24070,1.24090,1.23860,1.23930
2025-01-03 22:00:00,1.23930,1.24160,1.23930,1.24070
2025-01-03 23:00:00,1.24070,1.24130,1.24030,1.24080
2025-01-04 00:00:00,1.24070,1.24120,1.23990,1.24010
2025-01-04 01:00:00,1.24020,1.24140,1.23930,1.24120
2025-01-04 02:00:00,1.24070,1.24170,1.23880,1.24050
2025-01-04 03:00:00,1.24040,1.24180,1.24030,1.24170
2025-01-04 04:00:00,1.24170,1.24290,1.24160,1.24180
2025-01-04 05:00:00,1.24180,1.24260,1.24160,1.24200
2025-01-04 06:00:00,1.24200,1.24340,1.24180,1.24280
2025-01-04 07:00:00,1.24280,1.24350,1.24240,1.24260
2025-01-04 08:00:00,1.24270,1.24290,1.24200,1.24230
2025-01-06 09:00:00,1.24220,1.24290,1.24140,1.24190
2025-01-06 10:00:00,1.24200,1.24340,1.24180,1.24240
2025-01-06 11:00:00,1.24250,1.24320,1.24180,1.24300
2025-01-06 12:00:00,1.24290,1.24390,1.24260,1.24360
2025-01-06 13:00:00,1.24350,1.24430,1.24330,1.24390
2025-01-06 14:00:00,1.24390,1.24410,1.24320,1.24360
2025-01-06 15:00:00,1.24350,1.24390,1.24320,1.24370
2025-01-06 16:00:00,1.24380,1.24450,1.24360,1.24370
2025-01-06 17:00:00,1.24370,1.24480,1.24350,1.24430
2025-01-06 18:00:00,1.24430,1.24560,1.24380,1.24520
2025-01-06 19:00:00,1.24520,1.24830,1.24520,1.24810
2025-01-06 20:00:00,1.24800,1.24920,1.24710,1.24760
2025-01-06 21:00:00,1.24770,1.24790,1.24640,1.24650
2025-01-06 22:00:00,1.24620,1.25480,1.24560,1.25440
2025-01-06 23:00:00,1.25450,1.25510,1.25260,1.25360
2025-01-07 00:00:00,1.25360,1.25480,1.25210,1.25340
2025-01-07 01:00:00,1.25340,1.25370,1.24690,1.25120
2025-01-07 02:00:00,1.25130,1.25170,1.24940,1.25080
2025-01-07 03:00:00,1.25080,1.25350,1.25050,1.25260
2025-01-07 04:00:00,1.25270,1.25270,1.25020,1.25180
