timestamp,pair,tf,direction,score,entry,sl,tp,sl_pips,tp_pips,rr_ratio,outcome,result_pips,bars_to_close,max_adverse,max_favorable
2026-03-09T21:45:07+02:00,GBPUSD,M15,BUY,79.3,1.34354,1.34154,1.34701,20.0,34.7,1.74,LOSS,-20.0,33,20.0,12.9
2026-03-09T22:00:07+02:00,GBPUSD,M15,BUY,89.8,1.34372,1.34172,1.34728,20.0,35.6,1.78,LOSS,-20.0,32,20.0,11.1
2026-03-09T22:15:02+02:00,EURUSD,M15,BUY,77.3,1.16091,1.15902,1.16406,18.9,31.5,1.67,WIN,31.5,4,0.0,31.5
2026-03-09T22:15:07+02:00,GBPUSD,M15,BUY,87.5,1.34294,1.34094,1.34655,20.0,36.1,1.81,WIN,36.1,45,14.9,36.1
2026-03-09T22:30:07+02:00,EURUSD,M15,BUY,79.3,1.16147,1.15963,1.16454,18.4,30.7,1.67,WIN,30.7,7,0.0,30.7
2026-03-09T22:30:12+02:00,GBPUSD,M15,BUY,88.2,1.343,1.341,1.34648,20.0,34.8,1.74,WIN,34.8,44,15.5,34.8
2026-03-09T22:45:06+02:00,EURUSD,M15,BUY,82.8,1.16181,1.16001,1.1648,18.0,29.9,1.66,WIN,29.9,6,0.0,29.9
2026-03-09T22:45:13+02:00,GBPUSD,M15,BUY,89.9,1.34356,1.34156,1.34695,20.0,33.9,1.69,LOSS,-20.0,29,20.0,12.7
2026-03-09T23:00:05+02:00,EURUSD,M15,BUY,86.2,1.16281,1.161,1.16583,18.1,30.2,1.67,WIN,30.2,44,17.7,30.2
2026-03-09T23:00:08+02:00,GBPUSD,M15,BUY,91.0,1.34389,1.34189,1.3473,20.0,34.1,1.71,LOSS,-20.0,28,20.0,9.4
2026-03-09T23:15:05+02:00,EURUSD,M15,BUY,91.5,1.16372,1.16189,1.16676,18.3,30.4,1.66,LOSS,-18.3,10,18.3,11.0
2026-03-09T23:15:10+02:00,GBPUSD,M15,BUY,92.4,1.34434,1.34234,1.34771,20.0,33.7,1.69,LOSS,-20.0,10,20.0,4.9
2026-03-09T23:30:06+02:00,EURUSD,M15,BUY,86.5,1.16356,1.16182,1.16645,17.4,28.9,1.66,LOSS,-17.4,11,17.4,12.6
2026-03-09T23:30:11+02:00,GBPUSD,M15,BUY,85.4,1.34398,1.342,1.34728,19.8,33.0,1.67,LOSS,-19.8,11,19.8,8.5
2026-03-09T23:45:05+02:00,EURUSD,M15,BUY,86.3,1.16347,1.16184,1.16618,16.3,27.1,1.66,LOSS,-16.3,10,16.3,13.5
2026-03-09T23:45:10+02:00,GBPUSD,M15,BUY,84.8,1.34393,1.34204,1.34709,18.9,31.6,1.67,LOSS,-18.9,10,18.9,9.0
2026-03-10T00:00:07+02:00,EURUSD,M15,BUY,85.9,1.16343,1.1619,1.16598,15.3,25.5,1.67,LOSS,-15.3,7,15.3,13.9
2026-03-10T00:00:13+02:00,GBPUSD,M15,BUY,82.9,1.34394,1.34214,1.34695,18.0,30.1,1.67,LOSS,-18.0,9,18.0,8.9
2026-03-10T00:15:05+02:00,EURUSD,M15,BUY,86.1,1.16428,1.16296,1.16649,13.2,22.1,1.67,LOSS,-13.2,2,13.2,1.4
2026-03-10T00:15:09+02:00,GBPUSD,M15,BUY,70.3,1.34447,1.34295,1.34699,15.2,25.2,1.66,LOSS,-15.2,2,15.2,0.0
2026-03-10T00:45:05+02:00,EURUSD,M15,BUY,77.2,1.16294,1.16134,1.1656,16.0,26.6,1.66,LOSS,-16.0,20,16.0,9.3
2026-03-10T01:00:05+02:00,EURUSD,M15,BUY,65.3,1.16236,1.16076,1.16502,16.0,26.6,1.66,WIN,26.6,35,13.2,26.6
2026-03-10T01:00:10+02:00,GBPUSD,M15,BUY,62.8,1.34276,1.34103,1.34565,17.3,28.9,1.67,WIN,28.9,31,13.1,28.9
2026-03-10T01:15:05+02:00,EURUSD,M15,BUY,66.0,1.16294,1.16138,1.16554,15.6,26.0,1.67,LOSS,-15.6,18,15.6,9.3
2026-03-10T01:15:09+02:00,GBPUSD,M15,BUY,63.4,1.34324,1.34156,1.34604,16.8,28.0,1.67,LOSS,-16.8,19,16.8,11.7
2026-03-10T06:15:05+02:00,EURUSD,M15,SELL,67.2,1.16096,1.16213,1.159,11.7,19.6,1.68,LOSS,-11.7,5,11.7,0.0
2026-03-10T09:00:07+02:00,GBPUSD,M15,BUY,78.2,1.34566,1.3444,1.34775,12.6,20.9,1.66,WIN,20.9,4,8.0,20.9
2026-03-10T09:17:32+02:00,EURUSD,M15,BUY,72.3,1.16325,1.16226,1.16491,9.9,16.6,1.68,WIN,16.6,2,0.0,16.6
2026-03-10T09:17:57+02:00,GBPUSD,M15,BUY,75.0,1.34505,1.34377,1.34719,12.8,21.4,1.67,WIN,21.4,1,0.0,21.4
2026-03-10T09:30:20+02:00,EURUSD,M15,BUY,70.1,1.16294,1.16188,1.16471,10.6,17.7,1.67,WIN,17.7,1,0.0,17.7
2026-03-10T09:30:42+02:00,GBPUSD,M15,BUY,77.1,1.34551,1.34412,1.34783,13.9,23.2,1.67,WIN,23.2,2,0.0,23.2
2026-03-10T09:46:13+02:00,EURUSD,M15,BUY,83.3,1.16526,1.16404,1.16729,12.2,20.3,1.66,LOSS,-12.2,12,12.2,13.3
2026-03-10T09:46:17+02:00,GBPUSD,M15,BUY,84.7,1.34706,1.34549,1.34967,15.7,26.1,1.66,LOSS,-15.7,5,15.7,10.7
2026-03-10T10:15:46+02:00,EURUSD,M15,BUY,83.9,1.16517,1.16388,1.16733,12.9,21.6,1.67,LOSS,-12.9,10,12.9,11.5
2026-03-10T10:15:53+02:00,GBPUSD,M15,BUY,85.8,1.34708,1.34547,1.34977,16.1,26.9,1.67,LOSS,-16.1,3,16.1,4.7
2026-03-10T10:45:06+02:00,EURUSD,M15,BUY,85.1,1.16545,1.16416,1.1676,12.9,21.5,1.67,LOSS,-12.9,8,12.9,7.3
2026-03-10T10:45:11+02:00,GBPUSD,M15,BUY,86.4,1.3473,1.34565,1.35006,16.5,27.6,1.67,LOSS,-16.5,1,16.5,0.0
2026-03-10T11:00:05+02:00,EURUSD,M15,BUY,85.5,1.16554,1.16422,1.16774,13.2,22.0,1.67,LOSS,-13.2,7,13.2,6.4
2026-03-10T11:00:12+02:00,GBPUSD,M15,BUY,83.3,1.34683,1.34522,1.34951,16.1,26.8,1.66,LOSS,-16.1,5,16.1,0.0
2026-03-10T11:15:02+02:00,EURUSD,M15,BUY,79.1,1.16458,1.1632,1.16688,13.8,23.0,1.67,LOSS,-13.8,6,13.8,16.0
2026-03-10T11:15:04+02:00,GBPUSD,M15,BUY,76.8,1.34594,1.34425,1.34875,16.9,28.1,1.66,LOSS,-16.9,6,16.9,8.8
2026-03-10T11:30:07+02:00,EURUSD,M15,BUY,82.0,1.16549,1.16407,1.16786,14.2,23.7,1.67,LOSS,-14.2,5,14.2,6.9
2026-03-10T11:34:01+02:00,GBPUSD,M15,BUY,71.0,1.34646,1.34476,1.3493,17.0,28.4,1.67,LOSS,-17.0,5,17.0,3.6
2026-03-10T11:45:05+02:00,EURUSD,M15,BUY,79.8,1.1653,1.1639,1.16764,14.0,23.4,1.67,LOSS,-14.0,4,14.0,7.4
2026-03-10T12:00:06+02:00,EURUSD,M15,BUY,80.4,1.16582,1.16445,1.16811,13.7,22.9,1.67,LOSS,-13.7,3,13.7,0.0
2026-03-10T12:00:10+02:00,GBPUSD,M15,BUY,63.2,1.3468,1.34512,1.34961,16.8,28.1,1.67,LOSS,-16.8,1,16.8,0.0
2026-03-10T12:15:06+02:00,EURUSD,M15,BUY,69.8,1.16515,1.16379,1.16742,13.6,22.7,1.67,LOSS,-13.6,2,13.6,0.0
2026-03-10T14:00:29+02:00,GBPUSD,M15,SELL,64.3,1.34444,1.34624,1.34143,18.0,30.1,1.67,LOSS,-18.0,6,18.0,12.9
2026-03-10T14:31:50+02:00,EURUSD,M15,SELL,69.9,1.16274,1.1643,1.16013,15.6,26.1,1.67,LOSS,-15.6,3,15.6,0.0
2026-03-10T15:01:50+02:00,EURUSD,M15,SELL,67.0,1.16302,1.16456,1.16045,15.4,25.7,1.67,LOSS,-15.4,1,15.4,0.0
2026-03-10T15:15:07+02:00,EURUSD,M15,SELL,64.7,1.16345,1.165,1.16087,15.5,25.8,1.66,LOSS,-15.5,1,15.5,0.0
