datetime,open,high,low,close
2025-08-21 16:00:00,1.16494,1.16502,1.16259,1.16304
2025-08-21 17:00:00,1.16302,1.16615,1.16249,1.16588
2025-08-21 18:00:00,1.16586,1.16606,1.16496,1.16546
2025-08-21 19:00:00,1.16548,1.16632,1.16532,1.16549
2025-08-21 20:00:00,1.16542,1.16566,1.16478,1.16493
2025-08-21 21:00:00,1.16494,1.16575,1.16396,1.16407
2025-08-21 22:00:00,1.16408,1.16565,1.16366,1.16469
2025-08-21 23:00:00,1.16468,1.16499,1.16153,1.1621
2025-08-22 00:00:00,1.16216,1.16301,1.16056,1.16163
2025-08-22 01:00:00,1.16158,1.16277,1.16006,1.16050
2025-08-22 02:00:00,1.16050,1.16124,1.16014,1.16118
2025-08-22 03:00:00,1.16118,1.16191,1.16114,1.16151
2025-08-22 04:00:00,1.16151,1.16175,1.16069,1.161
2025-08-22 05:00:00,1.16101,1.16108,1.16037,1.16057
2025-08-22 06:00:00,1.16051,1.16094,1.16034,1.16063
2025-08-22 07:00:00,1.1606,1.16167,1.16022,1.16088
2025-08-22 08:00:00,1.16082,1.16146,1.1604,1.16136
2025-08-22 09:00:00,1.16135,1.16158,1.1609,1.16127
2025-08-22 10:00:00,1.16125,1.16171,1.16105,1.1615
2025-08-22 11:00:00,1.16151,1.16163,1.16041,1.16083
2025-08-22 12:00:00,1.16083,1.16144,1.16051,1.16074
2025-08-22 13:00:00,1.1609,1.16096,1.15887,1.15899
2025-08-22 14:00:00,1.15901,1.15952,1.15823,1.15847
2025-08-22 15:00:00,1.15848,1.159,1.15833,1.15874
2025-08-22 16:00:00,1.15871,1.15955,1.15829,1.15886
2025-08-22 17:00:00,1.15884,1.15993,1.1588,1.15946
2025-08-22 18:00:00,1.15945,1.16005,1.15911,1.15998
2025-08-22 19:00:00,1.15997,1.16028,1.15947,1.15968
2025-08-22 20:00:00,1.15967,1.16003,1.1593,1.15959
2025-08-22 21:00:00,1.1596,1.16069,1.15949,1.16049
2025-08-22 22:00:00,1.16048,1.16142,1.16043,1.16088
2025-08-22 23:00:00,1.16089,1.16196,1.15974,1.15993
2025-08-23 00:00:00,1.15999,1.17207,1.15978,1.1718
2025-08-23 01:00:00,1.17179,1.17323,1.17125,1.17133
2025-08-23 02:00:00,1.17123,1.17268,1.17119,1.1721
2025-08-23 03:00:00,1.1722,1.17432,1.17216,1.17369
2025-08-23 04:00:00,1.17365,1.17393,1.17211,1.17217
2025-08-23 05:00:00,1.1722,1.17232,1.17151,1.17203
2025-08-23 06:00:00,1.17202,1.17279,1.17152,1.17152
2025-08-23 07:00:00,1.17152,1.17152,1.17152,1.17152
2025-08-23 08:00:00,1.17152,1.17152,1.17152,1.17152
2025-08-25 09:00:00,1.17135,1.1715,1.17073,1.17087
2025-08-25 10:00:00,1.17082,1.1709,1.16953,1.16978
2025-08-25 11:00:00,1.16977,1.17037,1.16931,1.16965
2025-08-25 12:00:00,1.16965,1.17001,1.16935,1.16971
2025-08-25 13:00:00,1.1697,1.17082,1.16966,1.17066
2025-08-25 14:00:00,1.17067,1.17084,1.17032,1.17059
2025-08-25 15:00:00,1.17058,1.17061,1.16981,1.17005
2025-08-25 16:00:00,1.17007,1.17215,1.17004,1.17148
2025-08-25 17:00:00,1.17149,1.17185,1.1694,1.16980
2025-08-25 18:00:00,1.16979,1.17111,1.16968,1.1704
2025-08-25 19:00:00,1.17039,1.17049,1.16892,1.16933
2025-08-25 20:00:00,1.16934,1.16977,1.16851,1.16874
2025-08-25 21:00:00,1.16878,1.17035,1.1687,1.17026
2025-08-25 22:00:00,1.17031,1.17041,1.16934,1.16996
2025-08-25 23:00:00,1.16998,1.17095,1.16945,1.17029
2025-08-26 00:00:00,1.17034,1.17059,1.1689,1.16903
2025-08-26 01:00:00,1.16904,1.16921,1.16652,1.16695
2025-08-26 02:00:00,1.16694,1.16699,1.16514,1.16552
2025-08-26 03:00:00,1.1655,1.16565,1.16408,1.16463
2025-08-26 04:00:00,1.16469,1.16492,1.16191,1.16206
2025-08-26 05:00:00,1.1621,1.16219,1.16029,1.16101
2025-08-26 06:00:00,1.16098,1.1626,1.16093,1.16189
2025-08-26 07:00:00,1.16255,1.16288,1.16131,1.16204
2025-08-26 08:00:00,1.16203,1.1624,1.16171,1.16209
2025-08-26 09:00:00,1.16210,1.1622,1.16118,1.16149
2025-08-26 10:00:00,1.1615,1.1661,1.16097,1.16473
2025-08-26 11:00:00,1.16478,1.16508,1.1635,1.16430
2025-08-26 12:00:00,1.16422,1.16477,1.16325,1.16364
2025-08-26 13:00:00,1.16363,1.16367,1.16239,1.1626
2025-08-26 14:00:00,1.16257,1.16329,1.16236,1.16322
2025-08-26 15:00:00,1.16325,1.16448,1.16291,1.16414
2025-08-26 16:00:00,1.16413,1.16416,1.16135,1.16224
2025-08-26 17:00:00,1.16223,1.16292,1.16027,1.16221
2025-08-26 18:00:00,1.16222,1.16254,1.16059,1.16181
2025-08-26 19:00:00,1.16182,1.16444,1.16174,1.16423
2025-08-26 20:00:00,1.16424,1.16481,1.16368,1.16447
2025-08-26 21:00:00,1.16449,1.16612,1.16413,1.16546
2025-08-26 22:00:00,1.16543,1.16602,1.16446,1.16463
2025-08-26 23:00:00,1.16465,1.16569,1.1637,1.16512
2025-08-27 00:00:00,1.16508,1.16648,1.16432,1.16549
2025-08-27 01:00:00,1.16547,1.16636,1.16488,1.16553
2025-08-27 02:00:00,1.16559,1.16621,1.16483,1.1649
2025-08-27 03:00:00,1.16492,1.1653,1.16376,1.16382
2025-08-27 04:00:00,1.16381,1.16477,1.1633,1.16435
2025-08-27 05:00:00,1.16443,1.16492,1.16392,1.16404
2025-08-27 06:00:00,1.16404,1.16443,1.16336,1.16417
2025-08-27 07:00:00,1.16475,1.16529,1.16394,1.1645
2025-08-27 08:00:00,1.16447,1.1649,1.16404,1.16434
2025-08-27 09:00:00,1.16429,1.16448,1.16373,1.16379
2025-08-27 10:00:00,1.16376,1.16426,1.16339,1.16367
2025-08-27 11:00:00,1.16368,1.16414,1.16308,1.16339
2025-08-27 12:00:00,1.16342,1.16346,1.16248,1.16311
2025-08-27 13:00:00,1.16309,1.16334,1.16218,1.1625
2025-08-27 14:00:00,1.16253,1.16258,1.16122,1.16143
2025-08-27 15:00:00,1.16145,1.16213,1.16133,1.16207
2025-08-27 16:00:00,1.16206,1.16247,1.1614,1.16206
2025-08-27 17:00:00,1.16215,1.16226,1.15962,1.1604
2025-08-27 18:00:00,1.16036,1.16039,1.1575,1.15891
2025-08-27 19:00:00,1.15891,1.15956,1.15862,1.15909
2025-08-27 20:00:00,1.15907,1.15933,1.15788,1.15799
2025-08-27 21:00:00,1.15797,1.15897,1.15744,1.15865
2025-08-27 22:00:00,1.15864,1.15984,1.15841,1.15867
2025-08-27 23:00:00,1.15868,1.1604,1.15842,1.15993
2025-08-28 00:00:00,1.1598,1.16034,1.15818,1.15923
2025-08-28 01:00:00,1.15922,1.16122,1.15917,1.16104
2025-08-28 02:00:00,1.16105,1.16417,1.16102,1.16385
2025-08-28 03:00:00,1.16386,1.16431,1.16324,1.16377
2025-08-28 04:00:00,1.16375,1.16378,1.16279,1.16313
2025-08-28 05:00:00,1.16308,1.16356,1.16291,1.16335
2025-08-28 06:00:00,1.16334,1.16412,1.16311,1.16387
2025-08-28 07:00:00,1.16379,1.16421,1.16274,1.16368
2025-08-28 08:00:00,1.1637,1.16443,1.16337,1.16437
2025-08-28 09:00:00,1.16439,1.16478,1.1642,1.16470
2025-08-28 10:00:00,1.16471,1.16495,1.16422,1.16454
2025-08-28 11:00:00,1.16455,1.16507,1.16414,1.16446
2025-08-28 12:00:00,1.16451,1.16551,1.16441,1.16531
2025-08-28 13:00:00,1.16532,1.16548,1.16424,1.16434
2025-08-28 14:00:00,1.16436,1.16449,1.16385,1.16395
2025-08-28 15:00:00,1.16393,1.16414,1.16357,1.16373
2025-08-28 16:00:00,1.16370,1.16453,1.16337,1.16438
2025-08-28 17:00:00,1.16428,1.165,1.16337,1.16441
2025-08-28 18:00:00,1.16433,1.16459,1.16283,1.16421
2025-08-28 19:00:00,1.16424,1.16545,1.16419,1.16491
2025-08-28 20:00:00,1.16484,1.16756,1.16475,1.1671
2025-08-28 21:00:00,1.1671,1.1674,1.1659,1.16667
2025-08-28 22:00:00,1.16670,1.16872,1.16618,1.16699
2025-08-28 23:00:00,1.16696,1.16777,1.16583,1.16755
2025-08-29 00:00:00,1.16728,1.16864,1.16661,1.16706
2025-08-29 01:00:00,1.16708,1.16758,1.16611,1.1672
2025-08-29 02:00:00,1.16722,1.16909,1.16718,1.1689
2025-08-29 03:00:00,1.16891,1.16978,1.16866,1.16879
2025-08-29 04:00:00,1.1688,1.16905,1.16846,1.16893
2025-08-29 05:00:00,1.16888,1.16904,1.16816,1.16825
2025-08-29 06:00:00,1.1683,1.16864,1.16773,1.16825
2025-08-29 07:00:00,1.16816,1.1686,1.16743,1.16803
2025-08-29 08:00:00,1.16802,1.16837,1.16732,1.16752
2025-08-29 09:00:00,1.16742,1.16829,1.16738,1.16796
2025-08-29 10:00:00,1.16790,1.16826,1.16726,1.16747
2025-08-29 11:00:00,1.16748,1.16767,1.1656,1.16584
2025-08-29 12:00:00,1.16591,1.16657,1.16588,1.16621
2025-08-29 13:00:00,1.16619,1.16653,1.16598,1.16630
2025-08-29 14:00:00,1.16629,1.16654,1.16585,1.16648
2025-08-29 15:00:00,1.16647,1.16706,1.16612,1.16702
2025-08-29 16:00:00,1.16695,1.16709,1.16608,1.16681
2025-08-29 17:00:00,1.16660,1.1678,1.16626,1.16755
2025-08-29 18:00:00,1.16758,1.1691,1.1669,1.16757
2025-08-29 19:00:00,1.16758,1.16832,1.16687,1.16736
2025-08-29 20:00:00,1.1673,1.16752,1.16648,1.1668
2025-08-29 21:00:00,1.1668,1.16687,1.1661,1.16636
2025-08-29 22:00:00,1.16634,1.16652,1.16505,1.16583
2025-08-29 23:00:00,1.16588,1.16732,1.16533,1.16691
