timestamp,open,high,low,close,volume
2025-09-19 18:00:00+00:00,1.17506,1.17512,1.17475,1.17502,0.00000
2025-09-19 18:15:00+00:00,1.17502,1.17507,1.17471,1.17481,0.00000
2025-09-19 18:30:00+00:00,1.17483,1.17499,1.17472,1.17474,0.00000
2025-09-19 18:45:00+00:00,1.17475,1.17503,1.17468,1.17481,0.00000
2025-09-19 19:00:00+00:00,1.17477,1.17498,1.17470,1.17485,0.00000
2025-09-19 19:15:00+00:00,1.17485,1.17493,1.17460,1.17466,0.00000
2025-09-19 19:30:00+00:00,1.17466,1.17488,1.17452,1.17478,0.00000
2025-09-19 19:45:00+00:00,1.17477,1.17507,1.17467,1.17476,0.00000
2025-09-19 20:00:00+00:00,1.17476,1.17478,1.17431,1.17433,0.00000
2025-09-19 20:15:00+00:00,1.17431,1.17459,1.17416,1.17442,0.00000
2025-09-19 20:30:00+00:00,1.17441,1.17448,1.17406,1.17428,0.00000
2025-09-19 20:45:00+00:00,1.17435,1.17459,1.17407,1.17442,0.00000
2025-09-19 21:00:00+00:00,1.17442,1.17442,1.17442,1.17442,0.00000
2025-09-19 21:15:00+00:00,1.17442,1.17442,1.17442,1.17442,0.00000
2025-09-19 21:30:00+00:00,1.17442,1.17442,1.17442,1.17442,0.00000
2025-09-19 21:45:00+00:00,1.17442,1.17442,1.17442,1.17442,0.00000
2025-09-19 22:00:00+00:00,1.17442,1.17442,1.17442,1.17442,0.00000
2025-09-19 22:15:00+00:00,1.17442,1.17442,1.17442,1.17442,0.00000
2025-09-19 22:30:00+00:00,1.17442,1.17442,1.17442,1.17442,0.00000
2025-09-19 22:45:00+00:00,1.17442,1.17442,1.17442,1.17442,0.00000
2025-09-21 23:00:00+00:00,1.17408,1.17415,1.17386,1.17393,0.00000
2025-09-21 23:15:00+00:00,1.17395,1.17409,1.17390,1.17390,0.00000
2025-09-21 23:30:00+00:00,1.17392,1.17404,1.17371,1.17393,0.00000
2025-09-21 23:45:00+00:00,1.17392,1.17393,1.17358,1.17365,0.00000
2025-09-22 00:00:00+00:00,1.17358,1.17358,1.17300,1.17348,0.00000
2025-09-22 00:15:00+00:00,1.17348,1.17378,1.17323,1.17374,0.00000
2025-09-22 00:30:00+00:00,1.17374,1.17374,1.17327,1.17330,0.00000
2025-09-22 00:45:00+00:00,1.17330,1.17345,1.17261,1.17344,0.00000
2025-09-22 01:00:00+00:00,1.17348,1.17410,1.17338,1.17378,0.00000
2025-09-22 01:15:00+00:00,1.17375,1.17406,1.17358,1.17363,0.00000
2025-09-22 01:30:00+00:00,1.17354,1.17380,1.17334,1.17363,0.00000
2025-09-22 01:45:00+00:00,1.17364,1.17382,1.17318,1.17323,0.00000
2025-09-22 02:00:00+00:00,1.17325,1.17336,1.17282,1.17310,0.00000
2025-09-22 02:15:00+00:00,1.17308,1.17309,1.17278,1.17287,0.00000
2025-09-22 02:30:00+00:00,1.17286,1.17318,1.17273,1.17314,0.00000
2025-09-22 02:45:00+00:00,1.17317,1.17317,1.17273,1.17279,0.00000
2025-09-22 03:00:00+00:00,1.17279,1.17340,1.17279,1.17335,0.00000
2025-09-22 03:15:00+00:00,1.17334,1.17348,1.17322,1.17328,0.00000
2025-09-22 03:30:00+00:00,1.17329,1.17341,1.17306,1.17332,0.00000
2025-09-22 03:45:00+00:00,1.17330,1.17346,1.17319,1.17322,0.00000
2025-09-22 04:00:00+00:00,1.17322,1.17322,1.17279,1.17314,0.00000
2025-09-22 04:15:00+00:00,1.17310,1.17312,1.17264,1.17266,0.00000
2025-09-22 04:30:00+00:00,1.17269,1.17288,1.17265,1.17278,0.00000
2025-09-22 04:45:00+00:00,1.17277,1.17307,1.17272,1.17306,0.00000
2025-09-22 05:00:00+00:00,1.17303,1.17317,1.17298,1.17309,0.00000
2025-09-22 05:15:00+00:00,1.17309,1.17345,1.17307,1.17340,0.00000
2025-09-22 05:30:00+00:00,1.17338,1.17349,1.17313,1.17338,0.00000
2025-09-22 05:45:00+00:00,1.17338,1.17385,1.17338,1.17385,0.00000
2025-09-22 06:00:00+00:00,1.17384,1.17417,1.17361,1.17383,0.00000
2025-09-22 06:15:00+00:00,1.17384,1.17440,1.17362,1.17434,0.00000
2025-09-22 06:30:00+00:00,1.17428,1.17461,1.17398,1.17459,0.00000
2025-09-22 06:45:00+00:00,1.17456,1.17485,1.17416,1.17432,0.00000
2025-09-22 07:00:00+00:00,1.17434,1.17484,1.17393,1.17399,0.00000
2025-09-22 07:15:00+00:00,1.17398,1.17540,1.17391,1.17539,0.00000
2025-09-22 07:30:00+00:00,1.17541,1.17542,1.17474,1.17512,0.00000
2025-09-22 07:45:00+00:00,1.17511,1.17536,1.17481,1.17485,0.00000
2025-09-22 08:00:00+00:00,1.17483,1.17634,1.17469,1.17619,0.00000
2025-09-22 08:15:00+00:00,1.17620,1.17674,1.17611,1.17639,0.00000
2025-09-22 08:30:00+00:00,1.17639,1.17691,1.17634,1.17648,0.00000
2025-09-22 08:45:00+00:00,1.17650,1.17665,1.17611,1.17623,0.00000
2025-09-22 09:00:00+00:00,1.17624,1.17667,1.17621,1.17667,0.00000
2025-09-22 09:15:00+00:00,1.17662,1.17696,1.17623,1.17639,0.00000
