run_id,time_utc,symbol,tf,type,score,bias,entry,stop,target,why,cadence_min,watchlist,engine
43cfaf6d,2025-10-08 09:17:42Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
43cfaf6d,2025-10-08 09:17:42Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
43cfaf6d,2025-10-08 09:17:42Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
43cfaf6d,2025-10-08 09:17:42Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
c6814c6f,2025-10-08 09:22:43Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
c6814c6f,2025-10-08 09:22:43Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
c6814c6f,2025-10-08 09:22:43Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
c6814c6f,2025-10-08 09:22:44Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
08cbf2e8,2025-10-08 09:27:43Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
08cbf2e8,2025-10-08 09:27:44Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
08cbf2e8,2025-10-08 09:27:44Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
08cbf2e8,2025-10-08 09:27:44Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
8257c8d8,2025-10-08 09:32:43Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
8257c8d8,2025-10-08 09:32:44Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
8257c8d8,2025-10-08 09:32:44Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
8257c8d8,2025-10-08 09:32:44Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
5308f4a6,2025-10-08 09:37:44Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
5308f4a6,2025-10-08 09:37:44Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
5308f4a6,2025-10-08 09:37:44Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
5308f4a6,2025-10-08 09:37:44Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
2f267a60,2025-10-08 10:58:21Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
2f267a60,2025-10-08 10:58:21Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
2f267a60,2025-10-08 10:58:21Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
2f267a60,2025-10-08 10:58:21Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
1275183d,2025-10-08 11:03:20Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
1275183d,2025-10-08 11:03:21Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
1275183d,2025-10-08 11:03:21Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
1275183d,2025-10-08 11:03:21Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
f9576c89,2025-10-08 11:08:23Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
f9576c89,2025-10-08 11:08:24Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
f9576c89,2025-10-08 11:08:24Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
f9576c89,2025-10-08 11:08:24Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
e61525c2,2025-10-08 11:13:21Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
e61525c2,2025-10-08 11:13:22Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
e61525c2,2025-10-08 11:13:22Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
e61525c2,2025-10-08 11:13:22Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
6b8e48c7,2025-10-08 11:18:22Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
6b8e48c7,2025-10-08 11:18:22Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
6b8e48c7,2025-10-08 11:18:22Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
6b8e48c7,2025-10-08 11:18:23Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
7203e179,2025-10-08 11:23:22Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
7203e179,2025-10-08 11:23:22Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
7203e179,2025-10-08 11:23:23Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
7203e179,2025-10-08 11:23:23Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
7c34ac09,2025-10-08 11:28:22Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
7c34ac09,2025-10-08 11:28:23Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
7c34ac09,2025-10-08 11:28:23Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
7c34ac09,2025-10-08 11:28:24Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
4dc08ef9,2025-10-08 11:33:22Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
4dc08ef9,2025-10-08 11:33:23Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
4dc08ef9,2025-10-08 11:33:23Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
4dc08ef9,2025-10-08 11:33:23Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
5901346c,2025-10-08 11:38:23Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
5901346c,2025-10-08 11:38:23Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
5901346c,2025-10-08 11:38:23Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
5901346c,2025-10-08 11:38:23Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
7d55ce98,2025-10-08 11:43:23Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
7d55ce98,2025-10-08 11:43:23Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
7d55ce98,2025-10-08 11:43:23Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
7d55ce98,2025-10-08 11:43:24Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
89434fdc,2025-10-08 11:48:23Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
89434fdc,2025-10-08 11:48:24Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
89434fdc,2025-10-08 11:48:24Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
89434fdc,2025-10-08 11:48:24Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
b1b72ca8,2025-10-08 11:53:23Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
b1b72ca8,2025-10-08 11:53:24Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
b1b72ca8,2025-10-08 11:53:24Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
b1b72ca8,2025-10-08 11:53:24Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
4bbc98b0,2025-10-08 11:58:24Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
4bbc98b0,2025-10-08 11:58:24Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
4bbc98b0,2025-10-08 11:58:24Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
4bbc98b0,2025-10-08 11:58:24Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
7b7d6df8,2025-10-08 20:00:01Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
7b7d6df8,2025-10-08 20:00:16Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
7b7d6df8,2025-10-08 20:00:22Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
7b7d6df8,2025-10-08 20:00:34Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
02dda7bd,2025-10-08 20:05:01Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
02dda7bd,2025-10-08 20:05:14Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
02dda7bd,2025-10-08 20:05:18Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
02dda7bd,2025-10-08 20:05:28Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
99899ed9,2025-10-08 20:10:02Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
99899ed9,2025-10-08 20:10:14Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
99899ed9,2025-10-08 20:10:19Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
99899ed9,2025-10-08 20:10:28Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
dcb2085e,2025-10-08 20:15:02Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
dcb2085e,2025-10-08 20:15:11Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
dcb2085e,2025-10-08 20:15:15Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
dcb2085e,2025-10-08 20:15:21Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
585404b9,2025-10-08 20:20:03Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
585404b9,2025-10-08 20:20:12Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
585404b9,2025-10-08 20:20:16Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
585404b9,2025-10-08 20:20:24Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
afeadc9e,2025-10-08 20:25:03Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
afeadc9e,2025-10-08 20:25:13Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
afeadc9e,2025-10-08 20:25:17Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
afeadc9e,2025-10-08 20:25:24Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
3251d2c8,2025-10-08 20:30:03Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
3251d2c8,2025-10-08 20:30:14Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
3251d2c8,2025-10-08 20:30:20Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
3251d2c8,2025-10-08 20:30:29Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
9ff70e1c,2025-10-08 20:35:04Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
9ff70e1c,2025-10-08 20:35:20Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
9ff70e1c,2025-10-08 20:35:25Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
9ff70e1c,2025-10-08 20:35:37Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
3e3a16ff,2025-10-08 20:42:43Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
3e3a16ff,2025-10-08 20:42:52Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
3e3a16ff,2025-10-08 20:42:56Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
3e3a16ff,2025-10-08 20:43:03Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
a4a381ca,2025-10-08 20:47:44Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
a4a381ca,2025-10-08 20:47:54Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
a4a381ca,2025-10-08 20:47:58Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
a4a381ca,2025-10-08 20:48:05Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
2895e747,2025-10-08 20:52:44Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
2895e747,2025-10-08 20:52:55Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
2895e747,2025-10-08 20:52:59Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
2895e747,2025-10-08 20:53:07Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
f6dd1aad,2025-10-08 20:57:44Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
f6dd1aad,2025-10-08 20:57:56Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
f6dd1aad,2025-10-08 20:58:00Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
f6dd1aad,2025-10-08 20:58:12Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
8f6b6765,2025-10-08 21:02:45Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
8f6b6765,2025-10-08 21:02:45Z,,5min,skip,,,,,,outside trading hours,30,"EURUSD,XAUUSD",v2b
74ef80ab,2025-10-08 21:07:45Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
74ef80ab,2025-10-08 21:07:45Z,,5min,skip,,,,,,outside trading hours,30,"EURUSD,XAUUSD",v2b
16566b0d,2025-10-08 21:12:46Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
16566b0d,2025-10-08 21:12:46Z,,5min,skip,,,,,,outside trading hours,30,"EURUSD,XAUUSD",v2b
43864383,2025-10-08 21:17:47Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
43864383,2025-10-08 21:17:47Z,,5min,skip,,,,,,outside trading hours,30,"EURUSD,XAUUSD",v2b
ef4274f5,2025-10-08 21:22:47Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
ef4274f5,2025-10-08 21:22:47Z,,5min,skip,,,,,,outside trading hours,30,"EURUSD,XAUUSD",v2b
fbb4f7ca,2025-10-08 21:27:47Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
fbb4f7ca,2025-10-08 21:27:47Z,,5min,skip,,,,,,outside trading hours,30,"EURUSD,XAUUSD",v2b
c59ef18b,2025-10-08 21:32:48Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
