run_id,time_utc,symbol,tf,type,score,bias,entry,stop,target,why,cadence_min,watchlist,engine
44d54005,2025-10-09 08:26:24Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
81206e2c,2025-10-09 08:30:57Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
81206e2c,2025-10-09 08:31:07Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
81206e2c,2025-10-09 08:31:11Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
81206e2c,2025-10-09 08:31:19Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
fb1c7271,2025-10-09 08:41:31Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
fb1c7271,2025-10-09 08:42:12Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
fb1c7271,2025-10-09 08:42:48Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
fb1c7271,2025-10-09 08:43:26Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
b3e9d915,2025-10-09 08:51:33Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
b3e9d915,2025-10-09 08:51:48Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
b3e9d915,2025-10-09 08:51:54Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
b3e9d915,2025-10-09 08:52:03Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
29dd2607,2025-10-09 09:04:11Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
29dd2607,2025-10-09 09:04:22Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
29dd2607,2025-10-09 09:04:26Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
29dd2607,2025-10-09 09:04:35Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
16aafbd2,2025-10-09 09:14:12Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
16aafbd2,2025-10-09 09:14:33Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
16aafbd2,2025-10-09 09:14:39Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
16aafbd2,2025-10-09 09:14:52Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
6d059633,2025-10-09 09:19:12Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
6d059633,2025-10-09 09:19:23Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
6d059633,2025-10-09 09:19:28Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
6d059633,2025-10-09 09:19:38Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
f2f795b5,2025-10-09 09:24:13Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
f2f795b5,2025-10-09 09:24:27Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
f2f795b5,2025-10-09 09:24:30Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
f2f795b5,2025-10-09 09:24:38Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
b3f5eb72,2025-10-09 09:29:13Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
b3f5eb72,2025-10-09 09:29:24Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
