time,open,high,low,close
2025-09-17 13:15:00,1.18563,1.18576,1.18552,1.18555
2025-09-17 13:30:00,1.18557,1.18567,1.18551,1.18552
2025-09-17 13:45:00,1.18552,1.18554,1.18515,1.18515
2025-09-17 14:00:00,1.18521,1.18531,1.18513,1.18522
2025-09-17 14:15:00,1.18523,1.18542,1.18519,1.18534
2025-09-17 14:30:00,1.18533,1.18542,1.18526,1.18539
2025-09-17 14:45:00,1.1854,1.1855,1.18524,1.18539
2025-09-17 15:00:00,1.18542,1.1859,1.18541,1.18581
2025-09-17 15:15:00,1.18578,1.18596,1.18564,1.18565
2025-09-17 15:30:00,1.18568,1.18577,1.18551,1.18551
2025-09-17 15:45:00,1.1855,1.18589,1.1855,1.18578
2025-09-17 16:00:00,1.18589,1.18589,1.18517,1.18527
2025-09-17 16:15:00,1.18527,1.18596,1.18527,1.18543
2025-09-17 16:30:00,1.1854,1.18557,1.18514,1.18528
2025-09-17 16:45:00,1.18524,1.1857,1.18516,1.18559
2025-09-17 17:00:00,1.18558,1.18559,1.18429,1.18435
2025-09-17 17:15:00,1.18436,1.18442,1.18381,1.18416
2025-09-17 17:30:00,1.18417,1.18452,1.18405,1.18441
2025-09-17 17:45:00,1.18442,1.18459,1.18403,1.18405
2025-09-17 18:00:00,1.18404,1.18428,1.18399,1.18405
2025-09-17 18:15:00,1.18407,1.18458,1.18399,1.18451
2025-09-17 18:30:00,1.18451,1.18455,1.1841,1.1845
2025-09-17 18:45:00,1.18452,1.18511,1.1845,1.1848
2025-09-17 19:00:00,1.18484,1.18497,1.18451,1.18455
2025-09-17 19:15:00,1.18459,1.18481,1.18435,1.1844
2025-09-17 19:30:00,1.1844,1.18455,1.1841,1.18452
2025-09-17 19:45:00,1.18455,1.18487,1.18446,1.18455
2025-09-17 20:00:00,1.18453,1.18468,1.18327,1.18349
2025-09-17 20:15:00,1.1835,1.18384,1.18336,1.18373
2025-09-17 20:30:00,1.1837,1.18429,1.18363,1.18425
2025-09-17 20:45:00,1.18429,1.18432,1.18337,1.18362
2025-09-17 21:00:00,1.18363,1.18425,1.18357,1.18403
2025-09-17 21:15:00,1.18404,1.18408,1.18353,1.18375
2025-09-17 21:30:00,1.18376,1.18447,1.1835,1.18431
2025-09-17 21:45:00,1.18432,1.1846,1.18383,1.18391
2025-09-17 22:00:00,1.18387,1.18398,1.18347,1.18362
2025-09-17 22:15:00,1.18361,1.18384,1.18341,1.18341
2025-09-17 22:30:00,1.1834,1.18401,1.1834,1.18393
2025-09-17 22:45:00,1.18385,1.18449,1.18383,1.18434
2025-09-17 23:00:00,1.18441,1.18485,1.18423,1.18459
2025-09-17 23:15:00,1.18457,1.18491,1.18433,1.18477
2025-09-17 23:30:00,1.18478,1.18513,1.18462,1.18507
2025-09-17 23:45:00,1.18507,1.18528,1.18457,1.18499
2025-09-18 00:00:00,1.18502,1.18542,1.1846,1.18521
2025-09-18 00:15:00,1.1852,1.1859,1.18513,1.18552
2025-09-18 00:30:00,1.18552,1.18564,1.18502,1.18505
2025-09-18 00:45:00,1.18505,1.18517,1.18476,1.18496
2025-09-18 01:00:00,1.18495,1.18526,1.18441,1.18506
2025-09-18 01:15:00,1.18505,1.18523,1.18481,1.18502
2025-09-18 01:30:00,1.18503,1.18505,1.18454,1.18468
2025-09-18 01:45:00,1.18468,1.18489,1.18436,1.18449
2025-09-18 02:00:00,1.18443,1.18459,1.18424,1.18451
2025-09-18 02:15:00,1.1845,1.18555,1.1845,1.1855
2025-09-18 02:30:00,1.18549,1.18562,1.18517,1.18521
2025-09-18 02:45:00,1.1852,1.18547,1.18501,1.18531
2025-09-18 03:00:00,1.1853,1.1853,1.18483,1.18503
2025-09-18 03:15:00,1.18503,1.1851,1.18469,1.18508
2025-09-18 03:30:00,1.18507,1.18534,1.18502,1.18508
2025-09-18 03:45:00,1.1851,1.18552,1.18496,1.1851
2025-09-18 04:00:00,1.18515,1.19183,1.18515,1.18934
