time,open,high,low,close
2025-08-26 23:00:00,1.16465,1.16569,1.1637,1.16512
2025-08-27 00:00:00,1.16508,1.16648,1.16432,1.16549
2025-08-27 01:00:00,1.16547,1.16636,1.16488,1.16553
2025-08-27 02:00:00,1.16559,1.16621,1.16483,1.1649
2025-08-27 03:00:00,1.16492,1.1653,1.16376,1.16382
2025-08-27 04:00:00,1.16381,1.16477,1.1633,1.16435
2025-08-27 05:00:00,1.16443,1.16492,1.16392,1.16404
2025-08-27 06:00:00,1.16404,1.16443,1.16336,1.16417
2025-08-27 07:00:00,1.16475,1.16529,1.16394,1.1645
2025-08-27 08:00:00,1.16447,1.1649,1.16404,1.16434
2025-08-27 09:00:00,1.16429,1.16448,1.16373,1.16379
2025-08-27 10:00:00,1.16376,1.16426,1.16339,1.16367
2025-08-27 11:00:00,1.16368,1.16414,1.16308,1.16339
2025-08-27 12:00:00,1.16342,1.16346,1.16248,1.16311
2025-08-27 13:00:00,1.16309,1.16334,1.16218,1.1625
2025-08-27 14:00:00,1.16253,1.16258,1.16122,1.16143
2025-08-27 15:00:00,1.16145,1.16213,1.16133,1.16207
2025-08-27 16:00:00,1.16206,1.16247,1.1614,1.16206
2025-08-27 17:00:00,1.16215,1.16226,1.15962,1.1604
2025-08-27 18:00:00,1.16036,1.16039,1.1575,1.15891
2025-08-27 19:00:00,1.15891,1.15956,1.15862,1.15909
2025-08-27 20:00:00,1.15907,1.15933,1.15788,1.15799
2025-08-27 21:00:00,1.15797,1.15897,1.15744,1.15865
2025-08-27 22:00:00,1.15864,1.15984,1.15841,1.15867
2025-08-27 23:00:00,1.15868,1.1604,1.15842,1.15993
2025-08-28 00:00:00,1.1598,1.16034,1.15818,1.15923
2025-08-28 01:00:00,1.15922,1.16122,1.15917,1.16104
2025-08-28 02:00:00,1.16105,1.16417,1.16102,1.16385
2025-08-28 03:00:00,1.16386,1.16431,1.16324,1.16377
2025-08-28 04:00:00,1.16375,1.16378,1.16279,1.16313
2025-08-28 05:00:00,1.16308,1.16356,1.16291,1.16335
2025-08-28 06:00:00,1.16334,1.16412,1.16311,1.16387
2025-08-28 07:00:00,1.16379,1.16421,1.16274,1.16368
2025-08-28 08:00:00,1.1637,1.16443,1.16337,1.16437
2025-08-28 09:00:00,1.16439,1.16478,1.1642,1.16470
2025-08-28 10:00:00,1.16471,1.16495,1.16422,1.16454
2025-08-28 11:00:00,1.16455,1.16507,1.16414,1.16446
2025-08-28 12:00:00,1.16451,1.16551,1.16441,1.16531
2025-08-28 13:00:00,1.16532,1.16548,1.16424,1.16434
2025-08-28 14:00:00,1.16436,1.16449,1.16385,1.16395
2025-08-28 15:00:00,1.16393,1.16414,1.16357,1.16373
2025-08-28 16:00:00,1.16370,1.16453,1.16337,1.16438
2025-08-28 17:00:00,1.16428,1.165,1.16337,1.16441
2025-08-28 18:00:00,1.16433,1.16459,1.16283,1.16421
2025-08-28 19:00:00,1.16424,1.16545,1.16419,1.16491
2025-08-28 20:00:00,1.16484,1.16756,1.16475,1.1671
2025-08-28 21:00:00,1.1671,1.1674,1.1659,1.16667
2025-08-28 22:00:00,1.16670,1.16872,1.16618,1.16699
2025-08-28 23:00:00,1.16696,1.16777,1.16583,1.16755
2025-08-29 00:00:00,1.16728,1.16864,1.16661,1.16706
2025-08-29 01:00:00,1.16708,1.16758,1.16611,1.1672
2025-08-29 02:00:00,1.16722,1.16909,1.16718,1.1689
2025-08-29 03:00:00,1.16891,1.16978,1.16866,1.16879
2025-08-29 04:00:00,1.1688,1.16905,1.16846,1.16893
2025-08-29 05:00:00,1.16888,1.16904,1.16816,1.16825
2025-08-29 06:00:00,1.1683,1.16864,1.16773,1.16825
2025-08-29 07:00:00,1.16816,1.1686,1.16743,1.16803
2025-08-29 08:00:00,1.16802,1.16837,1.16732,1.16752
2025-08-29 09:00:00,1.16742,1.16829,1.16738,1.16796
2025-08-29 10:00:00,1.16790,1.16826,1.16726,1.16747
2025-08-29 11:00:00,1.16748,1.16767,1.1656,1.16584
2025-08-29 12:00:00,1.16591,1.16657,1.16588,1.16621
2025-08-29 13:00:00,1.16619,1.16653,1.16598,1.16630
2025-08-29 14:00:00,1.16629,1.16654,1.16585,1.16648
2025-08-29 15:00:00,1.16647,1.16706,1.16612,1.16702
2025-08-29 16:00:00,1.16695,1.16709,1.16608,1.16681
2025-08-29 17:00:00,1.16660,1.1678,1.16626,1.16755
2025-08-29 18:00:00,1.16758,1.1691,1.1669,1.16757
2025-08-29 19:00:00,1.16758,1.16832,1.16687,1.16736
2025-08-29 20:00:00,1.1673,1.16752,1.16648,1.1668
2025-08-29 21:00:00,1.1668,1.16687,1.1661,1.16636
2025-08-29 22:00:00,1.16634,1.16652,1.16505,1.16583
2025-08-29 23:00:00,1.16588,1.16732,1.16533,1.16691
2025-08-30 00:00:00,1.16705,1.17054,1.16691,1.17043
2025-08-30 01:00:00,1.17044,1.1709,1.16942,1.16945
2025-08-30 02:00:00,1.16948,1.17075,1.16931,1.17012
2025-08-30 03:00:00,1.17012,1.17031,1.1696,1.16965
2025-08-30 04:00:00,1.16965,1.16996,1.1693,1.16983
2025-08-30 05:00:00,1.16982,1.16998,1.16931,1.16986
2025-08-30 06:00:00,1.16985,1.17012,1.16791,1.1683
2025-08-30 07:00:00,1.1683,1.1683,1.1683,1.1683
2025-08-30 08:00:00,1.1683,1.1683,1.1683,1.1683
2025-09-01 09:00:00,1.16884,1.16911,1.16862,1.16904
2025-09-01 10:00:00,1.16904,1.1699,1.16897,1.1697
2025-09-01 11:00:00,1.16972,1.16975,1.16879,1.16947
2025-09-01 12:00:00,1.16952,1.17129,1.16947,1.1712
2025-09-01 13:00:00,1.17121,1.17149,1.17046,1.17085
